OTU_ID	SRR5181558	SRR5181559	SRR5181560	SRR5181561	SRR5181562	SRR5181563	SRR5181564	SRR5181565	SRR5181566	SRR5181567	SRR5181568	SRR5181569	SRR5181570	SRR5181571	SRR5181572	SRR5181573	SRR5181574	SRR5181575	SRR5181576	SRR5181577	SRR5181578	SRR5181579	SRR5181580	SRR5181581
76b54b6dbd5b528e0c32926ab61ddfb6	9564.0	5587.0	4011.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	107.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	190.0	0.0	115.0
96dfccaf67381ea021ff32ea254e1b9f	6789.0	7603.0	2619.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	49.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	77.0	60.0
a3943cc7b26e3a11e85cf70577550f77	305.0	619.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3335.0	2581.0	9408.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	27.0	41.0
aa2324e64353334beb372c4ee18ab079	4479.0	5934.0	2567.0	0.0	0.0	0.0	0.0	0.0	276.0	0.0	0.0	1012.0	168.0	74.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	39.0	66.0
fcd45bfad1274799095c870782057bea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13168.0	212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5cad5c24ef29746a1741bf172d96c37b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7068.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ce3ccb1fafed335814492a265fcdd528	26.0	24.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3010.0	1805.0	1420.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	15.0
bb362b21058c3aa13990a3c2483e8bc4	2115.0	2296.0	1412.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0	0.0	97.0
2769d712c147723493cc4056728973c9	1051.0	983.0	379.0	0.0	227.0	100.0	0.0	0.0	170.0	719.0	0.0	0.0	591.0	371.0	432.0	0.0	0.0	0.0	0.0	0.0	0.0	552.0	226.0	347.0
25acea72c6f6dc020493cfa8db2e714d	1925.0	2341.0	1536.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	41.0	15.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	15.0
ccbd93034f30c3093df5195e5eb16ecd	2098.0	2418.0	1360.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cf1767a82e5bd53e2374c9630db4960e	1628.0	3139.0	921.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	18.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	11.0	12.0
35d6a3cdc3f9bda4dd4d173301a12a08	2160.0	1796.0	1303.0	236.0	0.0	194.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
965c0a41d3d4918c91a72a1b2b224fae	1897.0	2267.0	1142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	30.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	35.0
dc4aa1736f4a3962cd227f304c2de55b	1985.0	1962.0	1238.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	19.0
1940be0ef5515bb1c1fd7496bc91c443	1599.0	2044.0	1151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	10.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	19.0
d1904e838f03a7a3458278a00815b593	1443.0	1862.0	1053.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	22.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	11.0	34.0
a3c934e0d9d77d82d6b6f53b3c4b562d	1381.0	1574.0	914.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	13.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	12.0	20.0
b426815079960f5c09b4247a3a2f293c	30.0	63.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	85.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	1303.0	853.0	1484.0
01b8232cd25a579556745f6eaada39a6	114.0	145.0	67.0	145.0	106.0	180.0	395.0	354.0	596.0	522.0	65.0	1217.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
